,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Residual_lag_1,Residual_lag_2,Residual_lag_24,Residual_lag_168,Residual_lag_336,Residual_lag_504,Residual_lag_672,Pred,Actual
8289,0,0,20,3,2024,3,-28.50393518515594,-14.52294152178407,17.51608524164373,-7.931331215591939,-13.062077230330544,36.18378227374355,-19.6846154094246,-75.0,-28.54517899640907
8290,0,0,21,3,2024,3,-28.54517899640907,-28.50393518515594,-1.3269348405723704,-1.1664846833148133,-2.3514818253344245,-8.164359582441847,10.260614184926837,-70.0,-12.583203155225412
8291,0,0,22,3,2024,3,-12.583203155225412,-28.54517899640907,4.47863622371397,-3.4616769687566347,7.06033582001934,4.852059686815849,-5.958812186555008,-61.0,15.490472442181982
8292,0,0,23,3,2024,3,15.490472442181982,-12.583203155225412,-15.157382785698168,15.937960579709156,-10.846850848510968,-12.51775240573513,-4.156981912551785,-54.0,19.69734989865085
8293,0,0,24,3,2024,3,19.69734989865085,15.490472442181982,-3.8180502759928174,-2.5020796678594834,-11.39961802192348,-4.334804013721964,-2.253391001428298,-52.0,0.6651606711982012
8294,0,0,1,3,2024,4,0.6651606711982012,19.69734989865085,-6.803718504584396,8.70517614166976,-3.534919407597478,-2.852654363062065,0.3011120890052581,-54.0,4.445299175974256
8295,0,0,2,3,2024,4,4.445299175974256,0.6651606711982012,-4.684256067163027,0.2926506003305036,-3.227845182573006,-0.0175122449716553,-1.3658186076965464,-57.0,0.6287298336321427
8296,0,0,3,3,2024,4,0.6287298336321427,4.445299175974256,-4.011893479628135,0.6843892332621806,-3.460589918958036,0.0581312727061771,-1.5387511282485065,-58.0,0.1845437392956768
8297,0,0,4,3,2024,4,0.1845437392956768,0.6287298336321427,-0.7523746593892824,0.4557344132478675,-4.025580706203641,0.030894423213688,-1.7820686999600142,-58.0,-0.9997053440835372
8298,0,0,5,3,2024,4,-0.9997053440835372,0.1845437392956768,-2.154515729008608,10.605495999972987,-1.997986644061065,4.409232021269276,1.4965003965847004,-53.0,4.952868062104031
8299,0,0,6,3,2024,4,4.952868062104031,-0.9997053440835372,-1.8057044456871625,2.8183254291235187,-15.474409423912952,5.516860068843322,10.508327743667564,-40.0,-13.088295848099165
