Date_Time,Is_Holiday,Holiday_Type,Month,Year,Weekday,Trend
2019-01-04 14:00:00,0,0,1,2019,4,81.14075665131857
2019-01-04 15:00:00,0,0,1,2019,4,80.93349687997956
2019-01-04 16:00:00,0,0,1,2019,4,80.6579461444297
2019-01-04 17:00:00,0,0,1,2019,4,80.28066438231755
2019-01-04 18:00:00,0,0,1,2019,4,79.78992665411641
2019-01-04 19:00:00,0,0,1,2019,4,79.19185635616539
2019-01-04 20:00:00,0,0,1,2019,4,78.50683287289208
2019-01-04 21:00:00,0,0,1,2019,4,77.76018995996255
2019-01-04 22:00:00,0,0,1,2019,4,76.98177911534131
2019-01-04 23:00:00,0,0,1,2019,4,76.22156459102003
2019-01-05 00:00:00,0,0,1,2019,5,75.54113431250667
2019-01-05 01:00:00,0,0,1,2019,5,75.01336551649572
2019-01-05 02:00:00,0,0,1,2019,5,74.69484377897834
2019-01-05 03:00:00,0,0,1,2019,5,74.59755301800429
2019-01-05 04:00:00,0,0,1,2019,5,74.68796144954096
2019-01-05 05:00:00,0,0,1,2019,5,74.91039306987143
2019-01-05 06:00:00,0,0,1,2019,5,75.21136108737724
2019-01-05 07:00:00,0,0,1,2019,5,75.5504067693848
2019-01-05 08:00:00,0,0,1,2019,5,75.89254282068539
2019-01-05 09:00:00,0,0,1,2019,5,76.21707022267526
2019-01-05 10:00:00,0,0,1,2019,5,76.51703144907403
2019-01-05 11:00:00,0,0,1,2019,5,76.7906396161992
2019-01-05 12:00:00,0,0,1,2019,5,77.03569790274165
2019-01-05 13:00:00,0,0,1,2019,5,77.22710971810595
2019-01-05 14:00:00,0,0,1,2019,5,77.31535230857455
2019-01-05 15:00:00,0,0,1,2019,5,77.21539755403461
2019-01-05 16:00:00,0,0,1,2019,5,76.86211589758645
2019-01-05 17:00:00,0,0,1,2019,5,76.24795986802405
2019-01-05 18:00:00,0,0,1,2019,5,75.40558118370545
2019-01-05 19:00:00,0,0,1,2019,5,74.37403738145214
2019-01-05 20:00:00,0,0,1,2019,5,73.19971902398086
2019-01-05 21:00:00,0,0,1,2019,5,71.93950767146987
2019-01-05 22:00:00,0,0,1,2019,5,70.66360824922518
2019-01-05 23:00:00,0,0,1,2019,5,69.42160513008582
2019-01-06 00:00:00,0,0,1,2019,6,68.22055777111446
2019-01-06 01:00:00,0,0,1,2019,6,67.0115078543594
2019-01-06 02:00:00,0,0,1,2019,6,65.72217146635698
2019-01-06 03:00:00,0,0,1,2019,6,64.30829660911223
2019-01-06 04:00:00,0,0,1,2019,6,62.77073522063729
2019-01-06 05:00:00,0,0,1,2019,6,61.13839643883453
2019-01-06 06:00:00,0,0,1,2019,6,59.45985297745264
2019-01-06 07:00:00,0,0,1,2019,6,57.789125663395296
2019-01-06 08:00:00,0,0,1,2019,6,56.20019859690465
2019-01-06 09:00:00,0,0,1,2019,6,54.77273123781042
2019-01-06 10:00:00,0,0,1,2019,6,53.578553224486434
2019-01-06 11:00:00,0,0,1,2019,6,52.67836573964986
2019-01-06 12:00:00,0,0,1,2019,6,52.10723298844873
2019-01-06 13:00:00,0,0,1,2019,6,51.89116038132303
2019-01-06 14:00:00,0,0,1,2019,6,52.044451372869865
2019-01-06 15:00:00,0,0,1,2019,6,52.576238695810765
2019-01-06 16:00:00,0,0,1,2019,6,53.503074438408426
2019-01-06 17:00:00,0,0,1,2019,6,54.79450139079903
2019-01-06 18:00:00,0,0,1,2019,6,56.39086972687932
2019-01-06 19:00:00,0,0,1,2019,6,58.21781496199242
2019-01-06 20:00:00,0,0,1,2019,6,60.20246242439551
2019-01-06 21:00:00,0,0,1,2019,6,62.26810608481264
2019-01-06 22:00:00,0,0,1,2019,6,64.33506037857433
2019-01-06 23:00:00,0,0,1,2019,6,66.32080386778831
2019-01-07 00:00:00,0,0,1,2019,0,68.16705002949882
2019-01-07 01:00:00,0,0,1,2019,0,69.849536072611
2019-01-07 02:00:00,0,0,1,2019,0,71.3700665229048
2019-01-07 03:00:00,0,0,1,2019,0,72.7409612013632
2019-01-07 04:00:00,0,0,1,2019,0,73.98978123177342
2019-01-07 05:00:00,0,0,1,2019,0,75.15645050202406
2019-01-07 06:00:00,0,0,1,2019,0,76.25762650630739
2019-01-07 07:00:00,0,0,1,2019,0,77.29482614462333
2019-01-07 08:00:00,0,0,1,2019,0,78.2590620670003
2019-01-07 09:00:00,0,0,1,2019,0,79.11613375717504
2019-01-07 10:00:00,0,0,1,2019,0,79.8113943409115
2019-01-07 11:00:00,0,0,1,2019,0,80.28350020345825
2019-01-07 12:00:00,0,0,1,2019,0,80.50694628638648
2019-01-07 13:00:00,0,0,1,2019,0,80.50568779123644
2019-01-07 14:00:00,0,0,1,2019,0,80.34248149640568
2019-01-07 15:00:00,0,0,1,2019,0,80.08581993786511
2019-01-07 16:00:00,0,0,1,2019,0,79.77817607068964
2019-01-07 17:00:00,0,0,1,2019,0,79.44337717789035
2019-01-07 18:00:00,0,0,1,2019,0,79.09508255681874
2019-01-07 19:00:00,0,0,1,2019,0,78.74409217188777
2019-01-07 20:00:00,0,0,1,2019,0,78.40753721008588
2019-01-07 21:00:00,0,0,1,2019,0,78.10118540820295
2019-01-07 22:00:00,0,0,1,2019,0,77.83401197647309
2019-01-07 23:00:00,0,0,1,2019,0,77.62067194805479
2019-01-08 00:00:00,0,0,1,2019,1,77.4712048783067
2019-01-08 01:00:00,0,0,1,2019,1,77.37610862386637
2019-01-08 02:00:00,0,0,1,2019,1,77.32165704083009
2019-01-08 03:00:00,0,0,1,2019,1,77.29587903024505
2019-01-08 04:00:00,0,0,1,2019,1,77.28499901059854
2019-01-08 05:00:00,0,0,1,2019,1,77.27604617951103
2019-01-08 06:00:00,0,0,1,2019,1,77.2730845084639
2019-01-08 07:00:00,0,0,1,2019,1,77.2815903681662
2019-01-08 08:00:00,0,0,1,2019,1,77.30299591954926
2019-01-08 09:00:00,0,0,1,2019,1,77.33432720278151
2019-01-08 10:00:00,0,0,1,2019,1,77.37409739442333
2019-01-08 11:00:00,0,0,1,2019,1,77.41471609546207
2019-01-08 12:00:00,0,0,1,2019,1,77.44703490288875
2019-01-08 13:00:00,0,0,1,2019,1,77.4572410360646
2019-01-08 14:00:00,0,0,1,2019,1,77.4457785332062
2019-01-08 15:00:00,0,0,1,2019,1,77.42921086856272
2019-01-08 16:00:00,0,0,1,2019,1,77.42633277991878
2019-01-08 17:00:00,0,0,1,2019,1,77.44011014232592
2019-01-08 18:00:00,0,0,1,2019,1,77.44753417540726
2019-01-08 19:00:00,0,0,1,2019,1,77.42798596458182
2019-01-08 20:00:00,0,0,1,2019,1,77.37412218241224
2019-01-08 21:00:00,0,0,1,2019,1,77.2778406751108
2019-01-08 22:00:00,0,0,1,2019,1,77.14540157671338
2019-01-08 23:00:00,0,0,1,2019,1,76.99773129048779
2019-01-09 00:00:00,0,0,1,2019,2,76.86549649153226
2019-01-09 01:00:00,0,0,1,2019,2,76.80700835140644
2019-01-09 02:00:00,0,0,1,2019,2,76.87082390373057
2019-01-09 03:00:00,0,0,1,2019,2,77.06733900786989
2019-01-09 04:00:00,0,0,1,2019,2,77.37765673349209
2019-01-09 05:00:00,0,0,1,2019,2,77.76505788890545
2019-01-09 06:00:00,0,0,1,2019,2,78.18560349691049
2019-01-09 07:00:00,0,0,1,2019,2,78.60569991853585
2019-01-09 08:00:00,0,0,1,2019,2,78.9938316600429
2019-01-09 09:00:00,0,0,1,2019,2,79.31920209946699
2019-01-09 10:00:00,0,0,1,2019,2,79.56662498872568
2019-01-09 11:00:00,0,0,1,2019,2,79.7336445352417
2019-01-09 12:00:00,0,0,1,2019,2,79.81615918245069
2019-01-09 13:00:00,0,0,1,2019,2,79.81901680988943
2019-01-09 14:00:00,0,0,1,2019,2,79.76769409133144
2019-01-09 15:00:00,0,0,1,2019,2,79.68393891300191
2019-01-09 16:00:00,0,0,1,2019,2,79.57914493816732
2019-01-09 17:00:00,0,0,1,2019,2,79.47106086872006
2019-01-09 18:00:00,0,0,1,2019,2,79.37423255877495
2019-01-09 19:00:00,0,0,1,2019,2,79.30541477660582
2019-01-09 20:00:00,0,0,1,2019,2,79.26579744272463
2019-01-09 21:00:00,0,0,1,2019,2,79.25523395742256
2019-01-09 22:00:00,0,0,1,2019,2,79.27888735026544
2019-01-09 23:00:00,0,0,1,2019,2,79.33671487900342
2019-01-10 00:00:00,0,0,1,2019,3,79.4296545224638
2019-01-10 01:00:00,0,0,1,2019,3,79.5854745315577
2019-01-10 02:00:00,0,0,1,2019,3,79.81779832526463
2019-01-10 03:00:00,0,0,1,2019,3,80.11107355335123
2019-01-10 04:00:00,0,0,1,2019,3,80.43048796908376
2019-01-10 05:00:00,0,0,1,2019,3,80.7448971174351
2019-01-10 06:00:00,0,0,1,2019,3,81.04127543280524
2019-01-10 07:00:00,0,0,1,2019,3,81.32396407202508
2019-01-10 08:00:00,0,0,1,2019,3,81.60209881093371
2019-01-10 09:00:00,0,0,1,2019,3,81.88124552238403
2019-01-10 10:00:00,0,0,1,2019,3,82.16950980911344
2019-01-10 11:00:00,0,0,1,2019,3,82.46487074962366
2019-01-10 12:00:00,0,0,1,2019,3,82.753226058271
2019-01-10 13:00:00,0,0,1,2019,3,83.00518073458696
2019-01-10 14:00:00,0,0,1,2019,3,83.17744317763328
2019-01-10 15:00:00,0,0,1,2019,3,83.25378344036584
2019-01-10 16:00:00,0,0,1,2019,3,83.25566473464649
2019-01-10 17:00:00,0,0,1,2019,3,83.2239044584665
2019-01-10 18:00:00,0,0,1,2019,3,83.2006399672113
2019-01-10 19:00:00,0,0,1,2019,3,83.20153975509389
2019-01-10 20:00:00,0,0,1,2019,3,83.20730081917262
2019-01-10 21:00:00,0,0,1,2019,3,83.19119421269343
2019-01-10 22:00:00,0,0,1,2019,3,83.12444043239019
2019-01-10 23:00:00,0,0,1,2019,3,82.98651144768152
2019-01-11 00:00:00,0,0,1,2019,4,82.76942705657102
2019-01-11 01:00:00,0,0,1,2019,4,82.46128121933637
2019-01-11 02:00:00,0,0,1,2019,4,82.03181944159145
2019-01-11 03:00:00,0,0,1,2019,4,81.47425363352015
2019-01-11 04:00:00,0,0,1,2019,4,80.80007751194204
2019-01-11 05:00:00,0,0,1,2019,4,80.05397365702802
2019-01-11 06:00:00,0,0,1,2019,4,79.28372660128097
2019-01-11 07:00:00,0,0,1,2019,4,78.53525371475021
2019-01-11 08:00:00,0,0,1,2019,4,77.8543795581429
2019-01-11 09:00:00,0,0,1,2019,4,77.28224228760682
2019-01-11 10:00:00,0,0,1,2019,4,76.84170738446578
2019-01-11 11:00:00,0,0,1,2019,4,76.53916857488642
2019-01-11 12:00:00,0,0,1,2019,4,76.36340698366867
2019-01-11 13:00:00,0,0,1,2019,4,76.28102967724429
2019-01-11 14:00:00,0,0,1,2019,4,76.21527444559906
2019-01-11 15:00:00,0,0,1,2019,4,76.09468234620871
2019-01-11 16:00:00,0,0,1,2019,4,75.87863429064653
2019-01-11 17:00:00,0,0,1,2019,4,75.55768705343347
2019-01-11 18:00:00,0,0,1,2019,4,75.13149591345176
2019-01-11 19:00:00,0,0,1,2019,4,74.6118381548692
2019-01-11 20:00:00,0,0,1,2019,4,74.0214669218526
2019-01-11 21:00:00,0,0,1,2019,4,73.4002804364627
2019-01-11 22:00:00,0,0,1,2019,4,72.78541524812225
2019-01-11 23:00:00,0,0,1,2019,4,72.21508133898304
2019-01-12 00:00:00,0,0,1,2019,5,71.70564090576329
2019-01-12 01:00:00,0,0,1,2019,5,71.26953686888999
2019-01-12 02:00:00,0,0,1,2019,5,70.94011441318781
2019-01-12 03:00:00,0,0,1,2019,5,70.73083154910731
2019-01-12 04:00:00,0,0,1,2019,5,70.63004584711962
2019-01-12 05:00:00,0,0,1,2019,5,70.59564670812478
2019-01-12 06:00:00,0,0,1,2019,5,70.57861355904619
2019-01-12 07:00:00,0,0,1,2019,5,70.5531234258445
2019-01-12 08:00:00,0,0,1,2019,5,70.50933611469485
2019-01-12 09:00:00,0,0,1,2019,5,70.4441559593684
2019-01-12 10:00:00,0,0,1,2019,5,70.35865957941185
2019-01-12 11:00:00,0,0,1,2019,5,70.26246270985915
2019-01-12 12:00:00,0,0,1,2019,5,70.15635662561833
2019-01-12 13:00:00,0,0,1,2019,5,70.01817082574871
2019-01-12 14:00:00,0,0,1,2019,5,69.82237820960744
2019-01-12 15:00:00,0,0,1,2019,5,69.53797214610337
2019-01-12 16:00:00,0,0,1,2019,5,69.11202652196049
2019-01-12 17:00:00,0,0,1,2019,5,68.52514173910619
2019-01-12 18:00:00,0,0,1,2019,5,67.7849729303481
2019-01-12 19:00:00,0,0,1,2019,5,66.93018422599658
2019-01-12 20:00:00,0,0,1,2019,5,66.01377930458945
2019-01-12 21:00:00,0,0,1,2019,5,65.0806134442739
2019-01-12 22:00:00,0,0,1,2019,5,64.16589050369791
2019-01-12 23:00:00,0,0,1,2019,5,63.284019856951694
2019-01-13 00:00:00,0,0,1,2019,6,62.42192415853121
2019-01-13 01:00:00,0,0,1,2019,6,61.55603030777822
2019-01-13 02:00:00,0,0,1,2019,6,60.6557289589808
2019-01-13 03:00:00,0,0,1,2019,6,59.721504385430286
2019-01-13 04:00:00,0,0,1,2019,6,58.783737146274
2019-01-13 05:00:00,0,0,1,2019,6,57.87971852097859
2019-01-13 06:00:00,0,0,1,2019,6,57.04172842174725
2019-01-13 07:00:00,0,0,1,2019,6,56.29128681137661
2019-01-13 08:00:00,0,0,1,2019,6,55.64260690464142
2019-01-13 09:00:00,0,0,1,2019,6,55.11078157445631
2019-01-13 10:00:00,0,0,1,2019,6,54.7125261259453
2019-01-13 11:00:00,0,0,1,2019,6,54.47235451327916
2019-01-13 12:00:00,0,0,1,2019,6,54.419268151000345
2019-01-13 13:00:00,0,0,1,2019,6,54.59653731020584
2019-01-13 14:00:00,0,0,1,2019,6,55.02989111675128
2019-01-13 15:00:00,0,0,1,2019,6,55.71942725704045
2019-01-13 16:00:00,0,0,1,2019,6,56.67244626803481
2019-01-13 17:00:00,0,0,1,2019,6,57.88002381892773
2019-01-13 18:00:00,0,0,1,2019,6,59.31197929716745
2019-01-13 19:00:00,0,0,1,2019,6,60.92125288091764
2019-01-13 20:00:00,0,0,1,2019,6,62.64661570686396
2019-01-13 21:00:00,0,0,1,2019,6,64.4193449374207
2019-01-13 22:00:00,0,0,1,2019,6,66.16473545884602
2019-01-13 23:00:00,0,0,1,2019,6,67.80291037213814
