,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Trend_lag_1,Trend_lag_2,Trend_lag_24,Trend_lag_168,Trend_lag_336,Trend_lag_504,Trend_lag_672,Pred,Actual
0,1,8,11,4,2023,1,55.05302959872247,55.74504159334919,67.03971125957112,69.75823530884577,69.41687504930566,63.85594361107506,23.869490494373824,57.0,54.48188251772382
1,1,8,12,4,2023,1,54.48188251772382,55.05302959872247,67.70281338076656,69.7026749836547,69.5981584887701,63.9553618012625,23.3029500772102,57.0,54.05435068723251
2,1,8,13,4,2023,1,54.05435068723251,54.48188251772382,68.08934878473433,69.59778347780161,69.73250467917502,63.96733018663848,23.05405896952796,56.0,53.78912768579533
3,1,8,14,4,2023,1,53.78912768579533,54.05435068723251,68.21691207579548,69.44383761755088,69.77626656999271,63.897252249037486,23.139933800976923,56.0,53.67714874682861
4,1,8,15,4,2023,1,53.67714874682861,53.78912768579533,68.15174373521783,69.24375046143116,69.64768123343357,63.771165572884655,23.583828932847865,55.0,53.681748094794926
5,1,8,16,4,2023,1,53.681748094794926,53.67714874682861,67.94374752134465,68.97782874844498,69.25262407002792,63.615378743162175,24.4523629703372,55.0,53.79554121199804
6,1,8,17,4,2023,1,53.79554121199804,53.681748094794926,67.60880795539525,68.64624420106148,68.52329827389471,63.44528271803195,25.77762194428057,54.0,54.00427815568046
7,1,8,18,4,2023,1,54.00427815568046,53.79554121199804,67.15706910088376,68.27118512940207,67.44943898022778,63.26642430642686,27.557067682678884,54.0,54.29643443446584
8,1,8,19,4,2023,1,54.29643443446584,54.00427815568046,66.60736562633565,67.87507034036484,66.05857959259394,63.07702875164028,29.76622546211132,53.0,54.65451312134393
9,1,8,20,4,2023,1,54.65451312134393,54.29643443446584,65.97906437567163,67.47091770929164,64.39841631492972,62.87601331353342,32.346406758169834,52.0,55.06529497875395
10,1,8,21,4,2023,1,55.06529497875395,54.65451312134393,65.28380969833621,67.07310687153925,62.53854283802298,62.66195748781134,35.20707829449849,52.0,55.51598052930255
11,1,8,22,4,2023,1,55.51598052930255,55.06529497875395,64.53636864828663,66.69238656463591,60.56967237415036,62.43616215439044,38.23187112869175,51.0,55.99428449708401
