,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Seasonal_lag_1,Seasonal_lag_2,Seasonal_lag_24,Seasonal_lag_168,Seasonal_lag_336,Seasonal_lag_504,Seasonal_lag_672,Pred,Actual
0,1,8,11,4,2023,1,65.46169075028612,140.76755804311702,14.474661775971375,22.693224570898,25.75970573150607,20.29646466196968,20.566273230005827,13.0,13.16230635703548
1,1,8,12,4,2023,1,13.16230635703548,65.46169075028612,-2.8248371346946177,-6.625692359002364,-5.694801710406623,-2.315154179365576,-0.0490370826796591,-5.0,-1.7786433951769758
2,1,8,13,4,2023,1,-1.7786433951769758,13.16230635703548,-6.027623037093128,-9.587394560287883,-11.34755639121746,-8.266809441871299,-10.041725683482293,-8.0,-5.27403319409802
3,1,8,14,4,2023,1,-5.27403319409802,-1.7786433951769758,-15.2038809168698,-14.23252212316021,-14.447938951775198,-12.138719108584873,-15.024900249635616,-17.0,-15.629011886840814
4,1,8,15,4,2023,1,-15.629011886840814,-5.27403319409802,-16.921787736013272,-17.616875913036772,-15.285682332029864,-15.099592224311722,-15.389354596556592,-20.0,-16.621152205325597
5,1,8,16,4,2023,1,-16.621152205325597,-15.629011886840814,-12.807811981610463,-15.24268966706935,-15.246107409197542,-11.626156408571562,-12.565288394872615,-16.0,-12.315529060541138
6,1,8,17,4,2023,1,-12.315529060541138,-16.621152205325597,8.59949107336724,8.858913352643967,0.3550793362673325,-3.4180717511050465,-4.71590951881405,6.0,8.36994776989186
7,1,8,18,4,2023,1,8.36994776989186,-12.315529060541138,29.922639026056128,25.34476511670607,17.497516708876468,17.811445339265045,22.80781026084085,26.0,28.89412160464736
8,1,8,19,4,2023,1,28.89412160464736,8.36994776989186,32.43309101214528,25.50744611003575,27.621349154772844,20.81925866104069,21.465584038464904,26.0,35.33465624920918
9,1,8,20,4,2023,1,35.33465624920918,28.89412160464736,44.09367717892092,52.84571361495154,56.76195055880133,45.20450221656031,46.055649323266806,40.0,43.63248124592877
10,1,8,21,4,2023,1,43.63248124592877,35.33465624920918,26.388429660945736,31.706044803056454,25.79998185453623,28.16378130556557,22.22747905763809,27.0,24.40275938034812
11,1,8,22,4,2023,1,24.40275938034812,43.63248124592877,-10.464817751364311,-8.312759514302671,-9.622788311175253,-11.20732304504661,-9.140291110442035,-12.0,-11.764813596762195
12,1,8,23,4,2023,1,-11.764813596762195,24.40275938034812,-8.706873116929094,-11.331799433951826,-1.4951749697950798,1.217730186095424,3.960878456633637,-13.0,-8.024892972651461
13,1,8,24,4,2023,1,-8.024892972651461,-11.764813596762195,-31.969351175325617,-36.32895005641144,-37.354025198115295,-32.93136809166162,-31.65821901243241,-35.0,-31.87616450307564
14,0,0,1,4,2023,2,-31.87616450307564,-8.024892972651461,-53.08036041816332,-52.96187665036105,-53.75223394002099,-51.58444323794858,-48.99454933688845,-54.0,-53.295402469450536
15,0,0,2,4,2023,2,-53.295402469450536,-31.87616450307564,-59.31965243591005,-60.348208574770446,-61.33627889327403,-60.19546471606613,-58.06710586175432,-61.0,-59.29012643255451
16,0,0,3,4,2023,2,-59.29012643255451,-53.295402469450536,-59.308008648135,-60.33540759370592,-61.34225000907369,-60.22707509405142,-58.05869071827805,-62.0,-59.27992901274366
17,0,0,4,4,2023,2,-59.27992901274366,-59.29012643255451,-59.29424436295748,-60.32323059850484,-61.35132947297359,-60.25703305363627,-58.0483216553984,-62.0,-59.26821332476439
18,0,0,5,4,2023,2,-59.26821332476439,-59.27992901274366,-51.42479955063255,-53.69016203671218,-55.39486008665735,-54.33219046254913,-52.01979532398854,-55.0,-51.20054371791413
19,0,0,6,4,2023,2,-51.20054371791413,-59.26821332476439,-32.08936968932113,-35.261950503786714,-36.387499574049215,-35.37761625467404,-32.82524196737382,-36.0,-31.79759557994792
20,0,0,7,4,2023,2,-31.79759557994792,-51.20054371791413,-2.1224469684743608,0.0383086026794338,3.2757745323889345,4.3944528510971175,2.238635135377254,-5.0,-2.404501014572748
21,0,0,8,4,2023,2,-2.404501014572748,-31.79759557994792,59.38527121742696,60.88164977180638,62.53563457465147,61.62961111766787,59.92903989185243,57.0,59.787020590308565
22,0,0,9,4,2023,2,59.787020590308565,-2.404501014572748,140.76755804311702,143.1534773990254,138.858500277736,140.64646595896002,134.13413591709198,136.0,141.11104141526118
23,0,0,10,4,2023,2,141.11104141526118,59.787020590308565,65.46169075028612,71.52418980632584,80.40555719583624,78.89543656426399,73.32739424551293,63.0,65.15314704086133
24,0,0,11,4,2023,2,65.15314704086133,141.11104141526118,13.16230635703548,20.858301707517164,26.395474371659603,21.41406770190201,20.090044126314773,12.0,11.857420576605875
25,0,0,12,4,2023,2,11.857420576605875,65.15314704086133,-1.7786433951769758,-6.101577071711217,-5.9536293608296464,-3.0295486784254027,-0.1845018099272055,-4.0,-0.5264349827203586
26,0,0,13,4,2023,2,-0.5264349827203586,11.857420576605875,-5.27403319409802,-9.302168553099756,-11.582011626380089,-8.627483226673835,-9.56541577733958,-8.0,-4.795855921133836
27,0,0,14,4,2023,2,-4.795855921133836,-0.5264349827203586,-15.629011886840814,-14.246093006077574,-14.69914100530944,-12.409604149919216,-14.35545141567249,-17.0,-15.883495009764191
28,0,0,15,4,2023,2,-15.883495009764191,-4.795855921133836,-16.621152205325597,-17.62650857518804,-15.883216139513548,-14.872022267228967,-15.64304827016447,-20.0,-16.28137397261642
29,0,0,16,4,2023,2,-16.28137397261642,-15.883495009764191,-12.315529060541138,-15.059584940314496,-15.46362553208111,-11.923506413525793,-12.590311046496254,-15.0,-11.80382650818953
30,0,0,17,4,2023,2,-11.80382650818953,-16.28137397261642,8.36994776989186,8.953877871818202,1.0504739474609417,-2.7310068166302823,-4.352935990247163,6.0,7.848803349070266
31,0,0,18,4,2023,2,7.848803349070266,-11.80382650818953,28.89412160464736,26.852862759773828,18.584447332067807,17.275582867582816,22.666800190597783,26.0,28.00505672048682
32,0,0,19,4,2023,2,28.00505672048682,7.848803349070266,35.33465624920918,26.153966193338483,27.636473580045514,21.28457453751968,21.28642690645457,28.0,38.45470169272797
33,0,0,20,4,2023,2,38.45470169272797,28.00505672048682,43.63248124592877,50.08686477969775,58.78892465656583,47.13106104959473,44.3053701079571,39.0,43.36161167243069
34,0,0,21,4,2023,2,43.36161167243069,38.45470169272797,24.40275938034812,31.92650831001568,26.30920470096608,27.84171572582427,23.96842522151476,25.0,22.23817576433549
35,0,0,22,4,2023,2,22.23817576433549,43.36161167243069,-11.764813596762195,-8.297100168522098,-9.210137341029276,-11.374056716436565,-9.432498853962622,-13.0,-13.221835237661267
36,0,0,23,4,2023,2,-13.221835237661267,22.23817576433549,-8.024892972651461,-11.811760933319007,-2.652289726773546,0.8772425943161781,3.7036504155566,-13.0,-7.5924874855768385
37,0,0,24,4,2023,2,-7.5924874855768385,-13.221835237661267,-31.87616450307564,-35.29487155421782,-37.739273402992566,-33.73968425867864,-31.658722416777845,-35.0,-31.84907287227214
38,0,0,1,4,2023,3,-31.84907287227214,-7.5924874855768385,-53.295402469450536,-52.83498226600472,-53.87324574321477,-52.110175664107096,-49.14683128594932,-54.0,-53.50413059773726
39,0,0,2,4,2023,3,-53.50413059773726,-31.84907287227214,-59.29012643255451,-60.10757893669117,-61.42539417182064,-60.59867308288836,-58.098066894227856,-61.0,-59.27215730465341
40,0,0,3,4,2023,3,-59.27215730465341,-53.50413059773726,-59.27992901274366,-60.09660415599796,-61.42525434048467,-60.62287523550897,-58.09333504419869,-62.0,-59.26075865944671
41,0,0,4,4,2023,3,-59.26075865944671,-59.27215730465341,-59.26821332476439,-60.085717778968615,-61.42891285583529,-60.64718966514341,-58.08584170103588,-62.0,-59.24795192998738
42,0,0,5,4,2023,3,-59.24795192998738,-59.26075865944671,-51.20054371791413,-53.33996374374323,-55.44073734711791,-54.68941169464064,-52.0912517829445,-55.0,-50.99768908671848
