,Date_Time,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Trend,Trend_lag_1,Trend_lag_2,Trend_lag_24,Trend_lag_168,Trend_lag_336,Trend_lag_504,Trend_lag_672
9679,2024-04-23 07:00:00,0,0,,1,2019,4,54.0,,,,,,,
9680,2024-04-23 08:00:00,0,0,,1,2019,4,54.0,,,,,,,
9681,2024-04-23 09:00:00,0,0,,1,2019,4,54.0,,,,,,,
9682,2024-04-23 10:00:00,0,0,,1,2019,4,54.0,,,,,,,
9683,2024-04-23 11:00:00,0,0,,1,2019,4,54.0,,,,,,,
9684,2024-04-23 12:00:00,0,0,,1,2019,4,54.0,,,,,,,
9685,2024-04-23 13:00:00,0,0,,1,2019,4,54.0,,,,,,,
9686,2024-04-23 14:00:00,0,0,,1,2019,4,54.0,,,,,,,
9687,2024-04-23 15:00:00,0,0,,1,2019,4,54.0,,,,,,,
9688,2024-04-23 16:00:00,0,0,,1,2019,4,54.0,,,,,,,
9689,2024-04-23 17:00:00,0,0,,1,2019,4,54.0,,,,,,,
9690,2024-04-23 18:00:00,0,0,,1,2019,4,54.0,,,,,,,
9691,2024-04-23 19:00:00,0,0,,1,2019,4,54.0,,,,,,,
9692,2024-04-23 20:00:00,0,0,,1,2019,4,54.0,,,,,,,
9693,2024-04-23 21:00:00,0,0,,1,2019,4,54.0,,,,,,,
9694,2024-04-23 22:00:00,0,0,,1,2019,4,54.0,,,,,,,
9695,2024-04-23 23:00:00,0,0,,1,2019,4,54.0,,,,,,,
9696,2024-04-24 00:00:00,0,0,,1,2019,5,54.0,,,,,,,
9697,2024-04-24 01:00:00,0,0,,1,2019,5,54.0,,,,,,,
9698,2024-04-24 02:00:00,0,0,,1,2019,5,54.0,,,,,,,
9699,2024-04-24 03:00:00,0,0,,1,2019,5,54.0,,,,,,,
9700,2024-04-24 04:00:00,0,0,,1,2019,5,54.0,,,,,,,
9701,2024-04-24 05:00:00,0,0,,1,2019,5,54.0,,,,,,,
9702,2024-04-24 06:00:00,0,0,,1,2019,5,54.0,,,,,,,
9703,2024-04-24 07:00:00,0,0,,1,2019,5,54.0,,,,,,,
9704,2024-04-24 08:00:00,0,0,,1,2019,5,54.0,,,,,,,
9705,2024-04-24 09:00:00,0,0,,1,2019,5,54.0,,,,,,,
9706,2024-04-24 10:00:00,0,0,,1,2019,5,54.0,,,,,,,
9707,2024-04-24 11:00:00,0,0,,1,2019,5,54.0,,,,,,,
9708,2024-04-24 12:00:00,0,0,,1,2019,5,54.0,,,,,,,
9709,2024-04-24 13:00:00,0,0,,1,2019,5,54.0,,,,,,,
9710,2024-04-24 14:00:00,0,0,,1,2019,5,54.0,,,,,,,
9711,2024-04-24 15:00:00,0,0,,1,2019,5,54.0,,,,,,,
9712,2024-04-24 16:00:00,0,0,,1,2019,5,54.0,,,,,,,
9713,2024-04-24 17:00:00,0,0,,1,2019,5,54.0,,,,,,,
9714,2024-04-24 18:00:00,0,0,,1,2019,5,54.0,,,,,,,
9715,2024-04-24 19:00:00,0,0,,1,2019,5,54.0,,,,,,,
